Username,User ID,Set URL,Slug,Language,Name,Type,Count,Date Created,Date Updated,Description,_ - userSet - setItems - _ - image - parentObjectNumber 1,_ - userSet - setItems - _ - image - parentObjectNumber 2,_ - userSet - setItems - _ - image - parentObjectNumber 3,_ - userSet - setItems - _ - image - parentObjectNumber 4,_ - userSet - setItems - _ - image - parentObjectNumber 5,_ - userSet - setItems - _ - image - parentObjectNumber 6,_ - userSet - setItems - _ - image - parentObjectNumber 7,_ - userSet - setItems - _ - image - parentObjectNumber 8,_ - userSet - setItems - _ - image - parentObjectNumber 9,_ - userSet - setItems - _ - image - parentObjectNumber 10,_ - userSet - setItems - _ - image - parentObjectNumber 11,_ - userSet - setItems - _ - image - parentObjectNumber 12,_ - userSet - setItems - _ - image - parentObjectNumber 13,_ - userSet - setItems - _ - image - parentObjectNumber 14,_ - userSet - setItems - _ - image - parentObjectNumber 15,_ - userSet - setItems - _ - image - parentObjectNumber 16,_ - userSet - setItems - _ - image - parentObjectNumber 17,_ - userSet - setItems - _ - image - parentObjectNumber 18,_ - userSet - setItems - _ - image - parentObjectNumber 19,_ - userSet - setItems - _ - image - parentObjectNumber 20,_ - userSet - setItems - _ - image - parentObjectNumber 21,_ - userSet - setItems - _ - image - parentObjectNumber 22,_ - userSet - setItems - _ - image - parentObjectNumber 23,_ - userSet - setItems - _ - image - parentObjectNumber 24,_ - userSet - setItems - _ - image - parentObjectNumber 25,User Initials
Mooie dingen,1817305,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/1817305--mooie-dingen/art-nouveau-het-elegante-leven-rond-1900,art-nouveau-het-elegante-leven-rond-1900,nl,"Art Nouveau, het elegante leven rond 1900",Default,511,2017-01-08T15:33:30.2165561Z,2018-02-21T13:17:39.6603629Z,,RP-F-2007-12-3,RP-F-2007-12-37,RP-F-F01163-DP,RP-F-2007-360-9,RP-F-F04291,RP-F-F01620,RP-P-2015-26-2132,BK-1969-25,RP-P-1912-2469,RP-F-2001-4-48,RP-P-1912-2407,RP-F-2007-6-174,RP-F-F01164-57-4,RP-T-2015-41-1112,RP-F-F03157,RP-F-F01048-J,RP-F-K89472,RP-F-F01164-56-1,RP-F-2008-114-22,RP-F-F21398,RP-T-1947-129,RP-F-K89511,RP-F-F25226-AF,RP-F-F01096-CU,RP-F-F01163-SR,MD
JkvdGls,1817305,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/1817305--jkvdgls/1980,1980,nl,1980,Default,94,2017-12-04T09:55:41.241964Z,2018-02-20T21:44:26.428509Z,,NG-1985-9-41,NG-1982-16-39,NG-1991-2-8,NG-1983-61-46,NG-1985-9-32,NG-1984-5-1,NG-1984-5-32,NG-1981-7-10,NG-1987-13-49,NG-1985-10-45,NG-1985-10-6,NG-1992-19-30,NG-1992-19-31,NG-1992-19-39,NG-1986-6-33,RP-F-2016-139-55,RP-F-2016-139-51,RP-F-2011-75-8,RP-F-2011-75-107,RP-F-2010-57,NG-1984-7-20,NG-1988-27-18,NG-1988-27-26,NG-1988-27-63,NG-1986-5-28,JG
Harry,1692024,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/1692024--harry/dieren,dieren,nl,Dieren,Default,162,2016-11-26T08:59:25.8308469Z,2018-01-20T19:31:02.4010908Z,,RP-T-1969-904,BK-1971-21-A-1,BK-1971-21-A-2,RP-P-BI-1933,RP-T-1952-350,RP-P-OB-201.020,RP-P-OB-201.030,RP-P-OB-201.041,RP-P-OB-201.050,RP-P-OB-201.022,RP-P-OB-201.021,RP-P-OB-202.745,RP-P-OB-202.429,RP-P-OB-78.842,RP-P-1994-65,SK-A-1347,RP-P-1882-A-5677,RP-T-1884-A-330B,RP-P-1912-1001,RP-P-OB-7092,RP-T-1914-17-148,AK-RAK-2000-6,SK-A-2981,SK-A-1535,RP-F-2002-21-2-12,HS
Philippine Nijhuis,1571343,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/1571343--philippine-nijhuis/mijn-eerste-verzameling,mijn-eerste-verzameling,nl,Mijn eerste verzameling,Default,87,2015-11-26T20:59:11.6030171Z,2018-01-23T16:58:44.5353708Z,,SK-A-2616,SK-A-3361,SK-A-2957,SK-A-2598,SK-A-2615,SK-A-3530,SK-A-3591,SK-A-3528,SK-A-3535,SK-A-3582,SK-A-2957,SK-A-3681,SK-A-3685,SK-A-3680,SK-A-2987,SK-A-2463,SK-A-3179,SK-A-2456,SK-A-2931,SK-C-1535,SK-A-3362,SK-A-2953,BK-1971-117,SK-C-1454,BK-NM-475,PN
JkvdGls,1817305,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/1817305--jkvdgls/swingin-sixties-1960-1970,swingin-sixties-1960-1970,nl,Swingin' Sixties 1960-1970,Default,67,2017-12-01T08:28:02.7834478Z,2018-02-10T14:45:37.2892823Z,,RP-F-2007-191-93,RP-F-2007-190,RP-F-F21333,RP-F-00-7579,RP-F-2002-12-28,RP-F-2007-191-137-1,RP-F-2010-80,NG-2017-30-1,NG-2017-32,NG-2017-45,NG-2013-1-3,RP-F-2005-107-380,RP-F-2010-69,RP-F-F03011,RP-F-F03022,RP-F-2007-189,RP-F-F03005,RP-F-F02984,RP-F-F03033,RP-F-F03018,RP-F-2005-107-448,RP-F-F03023,RP-F-F03032,NG-2010-22,NG-2007-10-15,JG
Harry,1692024,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/1692024--harry/bloemen,bloemen,nl,Bloemen,Default,52,2016-10-02T06:39:27.269469Z,2018-01-20T18:22:48.6945229Z,,SK-A-2910,SK-A-3540,RP-P-2010-221-75,RP-T-1882-A-171,RP-T-1882-A-170,RP-T-1916-42,RP-T-1948-43,RP-T-1948-62,RP-T-1978-93(R),RP-P-1888-A-13414,SK-A-1881,SK-A-2338,SK-A-354,RP-T-1879-A-15,SK-A-2103,SK-A-138,SK-A-138,SK-A-356,SK-C-215,SK-A-1463,SK-A-3907,RP-T-1882-A-173,RP-T-1916-42,RP-T-1899-A-4295,SK-A-356,HS
alessandro,1860026,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/1860026--alessandro/my-first-collection,my-first-collection,en,My first collection,Default,32,2017-03-19T13:05:41.1878793Z,2018-01-20T17:25:23.7593939Z,,SK-C-230,SK-A-2152,SK-A-2152,SK-C-1191,SK-C-1191,SK-A-188,SK-A-268,BK-1978-247,SK-A-268,SK-A-2103,SK-A-772,RP-P-OB-38.916,RP-P-OB-38.911,RP-P-OB-38.911,RP-P-OB-38.909,SK-A-799,SK-A-799,SK-A-799,SK-C-214,SK-C-214,SK-C-214,SK-C-214,SK-A-138,SK-A-5005,SK-A-138,A
Ewelina Janiak,2067045,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/2067045--ewelina-janiak/flovers,flovers,nl,Flovers,Default,5,2018-01-20T13:19:40.8592513Z,2018-01-20T17:24:56.0441954Z,,RP-T-1948-62,RP-T-1948-43,RP-T-1916-42,RP-T-1882-A-170,RP-T-1882-A-171,RP-P-1955-276,RP-T-1950-266-11-2,RP-T-1950-266-40-1,RP-P-1955-274,RP-P-1955-282,RP-P-1936-365,RP-P-1967-30,RP-T-1951-202,RP-T-1904-394,RP-T-1952-13,RP-T-1951-201,RP-T-1948-55,RP-P-1936-365,RP-T-BR-2017-1-9-11,RP-T-BR-2017-1-9-43,RP-T-BR-2017-1-9-53,RP-T-BR-2017-1-9-38,RP-T-BR-2017-1-9-46,RP-T-BR-2017-1-9-30,RP-T-BR-2017-1-9-24,EJ
Małgorzata Kałuża,2066577,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/2066577--malgorzata-kaluza/rosliny,rosliny,nl,Rośliny,Default,114,2018-01-19T18:29:25.7180382Z,2018-01-23T11:40:39.8800961Z,,,,,,,,,,,,,,,,,,,,,,,,,,,MK
,,,,,,,,,,,RP-T-1914-18-9,RP-T-1921-428,RP-T-1950-251,RP-T-1948-106,RP-T-1948-94,SK-A-1536,SK-A-1496,RP-P-1883-A-7603,SK-A-25,SK-C-231,SK-A-1456,SK-A-737,SK-A-2815,SK-A-4871,SK-A-836,SK-A-4839,SK-A-2398,SK-A-2398,RP-P-1896-A-19368-2383,SK-A-1624,SK-A-1624,SK-C-156,SK-A-3339,SK-A-2962,SK-A-2962,
